,Brand,Model,Battery Size (kWh),Segment,Powertrian,BodyStyle,Seats,0 - 62 MPH (Sec),Top Speed (MPH),Range (Mi),Efficiency (Wh/mi),Euro,0 - 62 MPH (Sec) Estimation,Top Speed (MPH) Estimation,Range (Mi) Estimation,Efficiency (Wh/mi) Estimation,0_62_mph_raw,top_speed_raw,range_raw,efficiency_raw
56,Hyundai,Kona Electric 64 kWh,64.0,B,FWD,SUV,5,7.9,104,395,260,41850.0,0,0,0,0,7.9,104.0,395.0,260.0
57,Hyundai,Kona Electric 64 kWh,64.0,B,FWD,SUV,5,7.9,104,350*,260*,41850.0,0,0,1,1,7.9,104.0,350.0,260.0
58,Hyundai,IONIQ 5 Long Range AWD,72.6,C,AWD,SUV,5,5.2,115,380*,305*,48900.0,0,0,1,1,5.2,115.0,380.0,305.0
59,Jaguar,I-Pace EV400,84.7,E,AWD,SUV,5,4.8,124,210,360,77300.0,0,0,0,0,4.8,124.0,210.0,360.0
60,Kia,e-Niro 39 kWh,39.2,C,FWD,SUV,5,9.8,96,205,270,35290.0,0,0,0,0,9.8,96.0,205.0,270.0
61,Kia,e-Niro 64 kWh,64.0,C,FWD,SUV,5,7.8,104,205,275,39090.0,0,0,0,0,7.8,104.0,205.0,275.0
62,Kia,e-Soul 39 kWh,39.2,B,FWD,SUV,5,9.9,98,275,280,33990.0,0,0,0,0,9.9,98.0,275.0,280.0
63,Kia,e-Soul 64 kWh,64.0,B,FWD,SUV,5,7.9,104,200,280,37790.0,0,0,0,0,7.9,104.0,200.0,280.0
64,Kia,EV6 Long Range 2WD,77.4,C,RWD,SUV,5,7.5,115,260*,295*,48990.0,0,0,1,1,7.5,115.0,260.0,295.0
65,Kia,EV6 Long Range AWD,77.4,C,AWD,SUV,5,5.4,115,235*,300*,52850.0,0,0,1,1,5.4,115.0,235.0,300.0
66,Kia,EV6 Standard Range 2WD,58.0,C,RWD,SUV,5,8.5,115,170*,290*,44990.0,0,0,1,1,8.5,115.0,170.0,290.0
67,Kia,EV6 GT,77.4,C,AWD,SUV,5,3.5,162,155*,315*,65990.0,0,0,1,1,3.5,162.0,155.0,315.0
68,Lexus,UX 300e,50.0,C,FWD,SUV,5,7.5,99,110,310,47550.0,0,0,0,0,7.5,99.0,110.0,310.0
69,Lightyear,One,60.0,F,AWD,Liftback,5,10,93*,155*,165*,149000.0,0,1,1,1,10.0,93.0,155.0,165.0
70,Lucid Air,Grand Touring,110.0,F,AWD,Sedan,5,3.2*,168,110*,265*,140000.0,1,0,1,1,3.2,168.0,110.0,265.0
71,Lucid Air,Pure,85.0,F,RWD,Sedan,5,4.2*,124,155*,250*,80000.0,1,0,1,1,4.2,124.0,155.0,250.0
72,Lucid Air,Touring,85.0,F,AWD,Sedan,5,3.4*,155,110*,255*,95000.0,1,0,1,1,3.4,155.0,110.0,255.0
73,Mazda,MX-30,30.0,C,FWD,SUV,5,9.7,87,170,285,34490.0,0,0,0,0,9.7,87.0,170.0,285.0
74,Mercedes,EQA 250,66.5,C,FWD,SUV,5,8.9,99,120*,300*,47541.0,0,0,1,1,8.9,99.0,120.0,300.0
75,Mercedes,EQA 300 4MATIC,66.5,C,AWD,SUV,5,7.7,99,120*,305*,53538.0,0,0,1,1,7.7,99.0,120.0,305.0
76,Mercedes,EQA 350 4MATIC,66.5,C,AWD,SUV,5,6,99,110*,305*,56216.0,0,0,1,1,6.0,99.0,110.0,305.0
77,Mercedes,EQB 350 4MATIC,66.5,C,AWD,SUV,7,6.2,99,110*,315*,60000.0,0,0,1,1,6.2,99.0,110.0,315.0
78,Mercedes,EQC 400 4MATIC,80.0,D,AWD,SUV,5,5.1,112,160,345,66069.0,0,0,0,0,5.1,112.0,160.0,345.0
79,Mercedes,EQE 350,90.0,E,RWD,Sedan,5,6*,99*,110*,270*,70000.0,1,1,1,1,6.0,99.0,110.0,270.0
80,Mercedes,EQS 450+,107.8,F,RWD,Sedan,5,6.2,130,160*,270*,106374.0,0,0,1,1,6.2,130.0,160.0,270.0
81,Mercedes,EQS AMG 53 4MATIC+,107.8,F,AWD,Sedan,5,3.4,155,250*,305*,175000.0,0,0,1,1,3.4,155.0,250.0,305.0
82,Mercedes,EQV 300 Extra-Long,90.0,M,FWD,Mini Van,7,12.1*,99,250,460,72281.0,1,0,0,0,12.1,99.0,250.0,460.0
83,Mercedes,EQV 300 Long,90.0,M,FWD,Mini Van,7,12.1,99,240,450,71388.0,0,0,0,0,12.1,99.0,240.0,450.0
84,Mercedes,EQS 580 4MATIC,107.8,F,AWD,Sedan,5,4.3,130,235*,280*,135529.0,0,0,1,1,4.3,130.0,235.0,280.0
85,MG,Marvel R,65.0,C,RWD,SUV,5,7.9,124,150*,305*,42990.0,0,0,1,1,7.9,124.0,150.0,305.0
86,MG,MG5 Electric,57.0,C,RWD,SUV,5,8.3,112*,220*,270*,30000.0,0,1,1,1,8.3,112.0,220.0,270.0
87,MG,ZS EV,42.5,B,FWD,SUV,5,8.2,87,180,310,31990.0,0,0,0,0,8.2,87.0,180.0,310.0
88,MG,Marvel R Performance,65.0,C,AWD,SUV,5,4.9,124,205*,315*,50990.0,0,0,1,1,4.9,124.0,205.0,315.0
89,Mini,Cooper SE,28.9,B,FWD,Hatchback,4,7.3,93,245,250,32500.0,0,0,0,0,7.3,93.0,245.0,250.0
90,Nissan,Ariya 63kWh,63.0,C,FWD,SUV,5,7.5,99,260*,305*,45000.0,0,0,1,1,7.5,99.0,260.0,305.0
91,Nissan,Ariya 87kWh,87.0,C,FWD,SUV,5,7.6,99,160*,315*,50000.0,0,0,1,1,7.6,99.0,160.0,315.0
92,Nissan,Ariya e-4ORCE 63kWh,63.0,C,AWD,SUV,5,5.9,124,285*,315*,50000.0,0,0,1,1,5.9,124.0,285.0,315.0
93,Nissan,Ariya e-4ORCE 87kWh,87.0,C,AWD,SUV,5,5.7,124,240*,330*,57500.0,0,0,1,1,5.7,124.0,240.0,330.0
94,Nissan,Ariya e-4ORCE 87kWh Performance,87.0,C,AWD,SUV,5,5.1,124,465*,370*,65000.0,0,0,1,1,5.1,124.0,465.0,370.0
95,Nissan,e-NV200 Evalia,37.0,M,FWD,Mini Van,7,14,76,345,350,43433.0,0,0,0,0,14.0,76.0,345.0,350.0
96,Nissan,Leaf,37.0,C,FWD,Hatchback,5,7.9,89,330,260,29990.0,0,0,0,0,7.9,89.0,330.0,260.0
